Contact0,Contact1,Contact2,Contact3,Contact4,Contact5,Contact6,Contact7
0.        , -1.42952852, -0.80513219, -1.08898658,  0.        ,-1.10325015, -0.5679529 , -0.16650818
-0.8949003773522026,-0.3340025421067194,-0.575643789354281,-1.8704299614372912,-0.48423392321980785,-0.06960926686111879,-0.7732032506954623,-0.8725579068766907
0.0,0.0,-0.2825855394653072,-0.47165210611549924,0.0,0.0,-0.34931898327195654,0.0
-1.151775534687145,-0.5418299497605732,-0.8247678055600627,-0.2773956619818776,-0.6653985199791439,-1.8642762915898121,-1.1020355999929432,-0.4494691026627704
-0.3568535165794575,0.0,-1.1573960051129344,-0.5012928898266633,-0.737781237852249,-0.8500638914884888,-2.0777641304211505,0.0
-0.047841703662061086,-0.23771883748289913,-0.41207881954472025,-0.2411708680988358,-0.5641961060640321,-0.822373257910721,-1.0473148625353446,-2.1191130812641976
-0.12505863277980112,0.0,0.0,-1.632797588774289,-0.14305910461080185,0.0,-1.4377384406952256,-0.24862485512565335
-1.2682402505421937,-0.5457230764235845,-0.6506564123221077,-0.5318106000812071,-0.5093887168401627,-0.9853566390310293,-1.6783943888019168,-0.41670995103147845
0.0,-0.22194531475465062,-0.2039071160527488,-0.6332759743374226,0.0,-2.948786540841575,-0.911033049755483,-0.5265052169510351
-0.8276050411522844,-0.20279865670111974,-1.0487622050581384,-1.1170166066997238,-0.6042905383646078,-0.775689286230655,-1.4728989706645699,-0.5761398413312744
-0.8625279147293448,-0.9546746489618947,-0.43562800325104867,-0.15305197491981737,0.0,-0.34729902813579816,-0.8000088068086901,-1.611530036556215
-0.807010389888541,-0.26831536288259983,-0.6623827983538204,-1.3805886524849962,-1.1226357015096093,-0.5177083539024521,-1.4354256234131242,-0.6441822613728201
0.0,-1.039407520120064,-2.332003934248326,-0.08852110981712968,0.0,0.0,-0.3426689152362483,-1.0367849326562677
-0.09575595790850056,-0.10371243790620266,-0.10237329845435017,-0.7000410327651618,-3.055417709451547,-0.08499866904195397,-0.0031868345880843307,-0.18730268638862047
-0.6826093342619508,0.0,-1.40209020715879,-0.4952804235655659,0.0,-0.07125933036895482,-0.1808730054779213,0.0
-0.5996492533158184,-1.5276612094319661,-0.26654007925208134,-2.7964834785646966,-0.7052081111649109,-0.02663592943448645,-0.6494278516362622,-0.3318379654171535
0.0,0.0,0.0,-0.731257730400988,0.0,-0.2023401727632823,0.0,0.0
-0.844322334528842,-0.539672001011759,-0.022898374315354353,-2.6941469422666398,-0.1318193604720994,-0.7983702487672515,-1.1220658081693946,-0.5888879377335057
0.0,-1.4723093021418157,0.0,-0.18425020715009488,-0.22897306411904061,0.0,0.0,0.0
-0.6966064750141951,-0.6180364144232984,-0.5196944066116078,-0.6978518816241026,-1.3872854106555508,-1.2995139421893,-1.0832282978903436,-0.38251781730713486
0.0,-0.0782775160161302,0.0,0.0,0.0,-1.0464361513796367,-2.041880849211677,0.0
-0.3119233263408132,-0.3597496870886232,-0.0069245953516912095,-1.3312813774639194,-1.1259176572410734,-0.9643562021805083,-2.186871166394522,-0.5003106788469447
0.0,0.0,-0.6315372570032594,0.0,-0.07034952898107072,0.0,-1.66671480186168,-0.2716746378978545
-0.010408966696749289,-1.2514193740897186,-0.1156131443248114,-1.8836344659304949,-2.062138965772479,-0.24438665414602934,-0.33488595185226444,-1.0225661000623019
-0.1260714835643002,-0.2356358296409109,-1.7910889232193705,0.0,-0.06053466996848034,-0.6369268863973971,-0.851565655951779,-1.8327573254234828
-0.35354294789029694,-0.7061921857086979,-0.2278458854484544,-2.024987584106209,-0.020668001326259677,-0.7656366457777164,-0.3384825057986083,-0.07391572744016539
-1.5213906626741114,-0.7558395308433541,0.0,0.0,-0.548994872349259,-0.02300006808987387,0.0,-0.15277286305367177
